Regiao;Sexo;Cor;Renda
Norte;Masculino;Parda;800
Norte;Feminino;Branca;1150
Norte;Feminino;Parda;880
Norte;Masculino;Branca;3500
Norte;Feminino;Parda;150
Norte;Feminino;Parda;790
Norte;Masculino;Parda;3150
Norte;Feminino;Parda;1700
Norte;Feminino;Preta;1800
Norte;Masculino;Parda;1150
Norte;Feminino;Parda;3000
Norte;Feminino;Parda;2500
Norte;Feminino;Branca;1200
Norte;Masculino;Parda;2000
Norte;Masculino;Branca;2000
Norte;Masculino;Branca;6000
Norte;Feminino;Parda;1050
Norte;Masculino;Parda;7000
Norte;Masculino;Branca;2000
Norte;Feminino;Parda;1150
Norte;Masculino;Parda;3030
Norte;Feminino;Parda;4000
Norte;Masculino;Parda;788
Norte;Masculino;Parda;1000
Norte;Masculino;Parda;800
Norte;Feminino;Parda;788
Norte;Masculino;Branca;1600
Norte;Masculino;Branca;1700
Norte;Masculino;Parda;2000
Norte;Masculino;Parda;2400
Norte;Masculino;Parda;3000
Norte;Masculino;Parda;920
Norte;Masculino;Branca;1300
Norte;Masculino;Branca;2000
Norte;Masculino;Parda;1300
Norte;Masculino;Amarela;600
Norte;Masculino;Parda;1200
Norte;Masculino;Branca;1000
Norte;Feminino;Branca;1000
Norte;Masculino;Preta;1500
Norte;Masculino;Branca;900
Norte;Masculino;Parda;900
Norte;Masculino;Parda;0
Norte;Feminino;Parda;300
Norte;Masculino;Parda;1600
Norte;Masculino;Branca;1500
Norte;Feminino;Parda;750
Norte;Masculino;Branca;800
Norte;Feminino;Branca;3600
Norte;Masculino;Branca;1500
Norte;Masculino;Parda;3000
Norte;Masculino;Parda;2300
Norte;Masculino;Branca;1500
Norte;Masculino;Parda;4500
Norte;Feminino;Branca;4800
Norte;Feminino;Parda;900
Norte;Feminino;Branca;400
Norte;Masculino;Parda;1050
Norte;Feminino;Parda;850
Norte;Feminino;Parda;650
Norte;Feminino;Parda;300
Norte;Feminino;Parda;900
Norte;Feminino;Branca;1000
Norte;Feminino;Parda;970
Norte;Feminino;Preta;1000
Norte;Feminino;Branca;600
Norte;Masculino;Preta;1000
Norte;Feminino;Preta;800
Norte;Masculino;Parda;0
Norte;Masculino;Branca;200
Norte;Masculino;Parda;1400
Norte;Masculino;Branca;2500
Norte;Masculino;Branca;3000
Norte;Masculino;Parda;1100
Norte;Masculino;Parda;2000
Norte;Masculino;Branca;1400
Norte;Masculino;Parda;788
Norte;Masculino;Parda;1400
Norte;Masculino;Preta;1000
Norte;Masculino;Parda;600
Norte;Masculino;Parda;788
Norte;Masculino;Branca;500
Norte;Masculino;Parda;1500
Norte;Masculino;Preta;1400
Norte;Masculino;Branca;600
Norte;Masculino;Branca;800
Norte;Masculino;Branca;1200
Norte;Masculino;Branca;2500
Norte;Feminino;Parda;1200
Norte;Masculino;Branca;2000
Norte;Feminino;Preta;1300
Norte;Masculino;Parda;800
Norte;Feminino;Parda;550
Norte;Masculino;Branca;975
Norte;Masculino;Parda;1500
Norte;Masculino;Branca;1200
Norte;Masculino;Preta;1145
Norte;Feminino;Parda;1200
Norte;Masculino;Parda;1500
Norte;Masculino;Preta;1200
Norte;Feminino;Parda;850
Norte;Masculino;Parda;1200
Norte;Masculino;Parda;900
Norte;Masculino;Parda;1200
Norte;Masculino;Parda;2500
Norte;Feminino;Parda;400
Norte;Masculino;Preta;1100
Norte;Masculino;Branca;1200
Norte;Masculino;Preta;2500
Norte;Masculino;Branca;4000
Norte;Masculino;Branca;2500
Norte;Feminino;Parda;788
Norte;Masculino;Branca;2000
Norte;Masculino;Preta;788
Norte;Feminino;Parda;380
Norte;Masculino;Parda;836
Norte;Masculino;Parda;1250
Norte;Masculino;Branca;1325
Norte;Masculino;Branca;1550
Norte;Masculino;Amarela;1800
Norte;Masculino;Preta;1500
Norte;Masculino;Branca;20000
Norte;Masculino;Parda;3000
Norte;Feminino;Branca;1600
Norte;Masculino;Branca;788
Norte;Masculino;Parda;1400
Norte;Masculino;Branca;580
Norte;Masculino;Branca;1500
Norte;Masculino;Branca;1000
Norte;Masculino;Branca;100
Norte;Masculino;Branca;0
Norte;Masculino;Branca;1000
Norte;Feminino;Parda;390
Norte;Masculino;Parda;788
Norte;Masculino;Preta;1800
Norte;Feminino;Parda;400
Norte;Masculino;Parda;1500
